PMC,shapley_delta_R2,n_marginal_terms,game_baseline_R2,game_full_R2,sum_check_target_delta_R2,sum_check_error
PMC_T,0.0009999227464861365,8,-0.039933607539578156,-0.027582519547342404,0.012351087992235752,-1.734723475976807e-18
PMC_I,-0.00012217359296625915,8,-0.039933607539578156,-0.027582519547342404,0.012351087992235752,-1.734723475976807e-18
PMC_Frequency,0.011263502563622008,8,-0.039933607539578156,-0.027582519547342404,0.012351087992235752,-1.734723475976807e-18
PMC_BERT,0.0002098362750938647,8,-0.039933607539578156,-0.027582519547342404,0.012351087992235752,-1.734723475976807e-18
