variable,Dep_reg,IV1,IV2,PMC_T,PMC_I,PMC_F,PMC_BERT
Dep_reg,1.0,0.20172496425462996,0.21724167973514558,-0.10484117442707006,-0.2070227419202777,-0.24572025984892412,-0.12575684988190813
IV1,0.20172496425462996,1.0,0.038071176583577324,-0.24583879489245195,-0.16144630937265275,0.040682986322850424,0.14574440282254553
IV2,0.21724167973514558,0.038071176583577324,1.0,-0.2594448680543537,-0.1717347745475031,-0.17031842155810908,0.004617328052470476
PMC_T,-0.10484117442707006,-0.24583879489245195,-0.2594448680543537,1.0,0.9185950451209096,0.5249673521560192,-0.04976035160708615
PMC_I,-0.2070227419202777,-0.16144630937265275,-0.1717347745475031,0.9185950451209095,1.0,0.5233718188891123,0.02160749310546027
PMC_F,-0.2457202598489241,0.040682986322850424,-0.17031842155810908,0.5249673521560192,0.5233718188891123,1.0,0.06472689258646223
PMC_BERT,-0.12575684988190816,0.14574440282254553,0.004617328052470476,-0.04976035160708615,0.021607493105460267,0.06472689258646223,1.0
