model,mean,sd,min,max,IQR,n_folds
M0,-0.9245653043250058,1.8586133916689018,-9.420204515340032,0.4019115821613163,0.6620818530760372,100
M1,-0.8776579668467526,1.8424243220104446,-10.690964642173135,0.3040643267284966,0.5803884887563128,100
M2,-0.8520604665965525,1.7741757130780722,-9.536282022868583,0.3298725568292537,0.4925928220781336,100
M3,-0.8207082203554359,1.5752183411448513,-7.706218148594846,0.2726349138461477,0.9628053433351278,100
M4,-0.7570727720745681,1.4189797870471714,-6.692057233172423,0.2334163557162338,0.530605268297708,100
