variable,category,n_cities,share
CV1,一线,4,0.0975609756097561
CV1,三线,24,0.5853658536585366
CV1,二线,13,0.3170731707317073
CV2,2019,2,0.04878048780487805
CV2,2020,2,0.04878048780487805
CV2,2021,6,0.14634146341463414
CV2,2022,13,0.3170731707317073
CV2,2023,16,0.3902439024390244
CV2,2024,2,0.04878048780487805
