contrast,n_features_added,paired_delta_r2_median,ci_low,ci_high,share_splits_positive,reading
B1−B0,4,0.016970147955916948,0.010806843004977362,0.020220473513868575,0.85,gain
B2−B1,8,-0.007714707331307746,-0.011372072438047831,-0.0011639385603785524,0.25,loss
B2−B0,12,0.011270315531544117,0.003556433664134273,0.015216027787312347,0.85,gain
