variable,Dep_reg,IV1,IV2,PMC_T,PMC_I,PMC_F,PMC_BERT
Dep_reg,0.0,0.20595222618440634,0.17245238689455872,0.5141740710460954,0.1940399562258238,0.12148504703842311,0.43336155846419744
IV1,0.20595222618440634,0.0,0.813183399987836,0.12129972956345494,0.3132498334066832,0.8006185177066375,0.36323008397195333
IV2,0.17245238689455872,0.813183399987836,0.0,0.10140741336009043,0.2829868700585154,0.287035857135109,0.9771428347808118
PMC_T,0.5141740710460954,0.12129972956345494,0.10140741336009043,0.0,2.596725309343248e-17,0.00042527874436143205,0.7573521970617019
PMC_I,0.1940399562258238,0.3132498334066832,0.2829868700585154,2.596725309343322e-17,0.0,0.00044600901429528667,0.8933295826882599
PMC_F,0.12148504703842317,0.8006185177066375,0.287035857135109,0.00042527874436143205,0.00044600901429528667,0.0,0.68764040254945
PMC_BERT,0.43336155846419755,0.36323008397195333,0.9771428347808118,0.7573521970617019,0.8933295826882599,0.68764040254945,0.0
