city_a,city_b,rule_distance_gower,text_dist_T,text_dist_I,text_dist_F,text_dist_BERT,discordant_T,discordant_I,discordant_F,discordant_BERT,Dep_reg_gap,rule_distance_components,scope
万宁,定安,0.6666666666666666,0.03333333333333277,1.2333333333333334,0.08194884262538293,6.165397341821395,False,False,False,False,124.40824215472031,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
万宁,屯昌,0.3333333333333333,0.733333333333333,1.9333333333333336,0.021241317092320022,0.31969063723877866,False,False,False,False,124.40824215472031,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
万宁,广州,0.5,0.3999999999999999,1.6000000000000005,1.585630903641473,0.2442693906151252,False,False,False,False,15.206195847901995,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
万宁,惠州,0.25,0.666666666666667,1.1333333333333337,3.7244208697818317,3.2056111021386755,False,False,False,False,104.645720847902,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
万宁,文昌,0.6666666666666666,0.9666666666666672,0.09999999999999964,0.8238641518488639,4.771273616526957,False,False,False,False,124.4082421547202,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
万宁,昌江,0.6666666666666666,0.6333333333333333,0.2333333333333334,0.8238641518488639,4.771273616526957,False,False,False,False,119.72170138767478,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
万宁,汕头,0.75,0.7000000000000002,0.5666666666666664,1.1327363405053779,1.0268185073489011,False,True,False,True,367.6394952797202,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
万宁,海口,0.0,0.75,1.9500000000000006,0.2069190722456271,3.1590269094350427,False,False,False,False,190.1421523109704,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
万宁,深圳,1.0,1.383333333333334,2.916666666666668,3.9573496509684754,2.0729328449132574,False,False,False,False,10.716216870629296,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
万宁,清远,0.6666666666666666,1.5666666666666669,1.4333333333333336,0.6373844698037889,1.4018229921359726,False,False,False,False,226.7279043706294,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
万宁,澄迈,0.0,0.666666666666667,0.3333333333333339,1.411970688285735,7.630787732111945,False,False,False,False,498.8693603365384,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
万宁,珠海,0.6666666666666666,0.26666666666666705,0.40000000000000036,0.6708851846111059,2.493629882368195,False,False,False,False,1362.7939555069934,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
万宁,琼中,0.0,0.933333333333334,0.13333333333333286,0.18591562278218587,0.8479563120179421,False,False,False,False,957.4552197115385,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
万宁,琼海,0.0,0.4666666666666668,2.0000000000000004,1.543829048165578,5.481557315868451,False,False,False,False,1567.7254410162263,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
万宁,白沙,0.0,0.1166666666666667,1.6500000000000004,1.9919421043212548,1.0028061255247263,False,False,False,False,44.00301260926568,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
万宁,肇庆,0.6666666666666666,1.0000000000000004,0.20000000000000018,1.082469514513215,5.406689496833225,False,False,False,False,125.9546706293707,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
万宁,陵水,0.6666666666666666,0.30000000000000027,0.9000000000000004,0.7643110118491798,3.217547556168978,False,False,False,False,188.15648945585662,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
万宁,韶关,0.3333333333333333,0.2833333333333332,0.8500000000000005,0.24003619469294302,0.36939586803266344,False,False,False,False,398.9129611888111,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,上饶,0.0,0.36666666666666714,1.4333333333333345,0.05205806832886917,2.8160208031578966,False,False,False,False,2188.160382146464,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
