rate_multiple,annual_rate,Dep_reg_mean,Dep_reg_sd,Dep_reg_min,Dep_reg_max,Dep_reg_p50,peak_exposure_mean,pure_Dep_reg_multiplier,min,max,mean,sd,max_abs_scale_error,zero_baseline_cities,expected_ratio,max_abs_error
1.0,0.0345,178.22108186640085,394.3753856296629,0.0,2429.587116465436,89.57127514204547,4106.758006402122,True,1.0,1.0,1.0,0.0,0.0,1,1.0,0.0
1.5,0.05175,267.3316227996013,591.5630784444943,0.0,3644.380674698154,134.3569127130682,4106.758006402122,True,1.499999999999999,1.5000000000000004,1.5,3.1801888857404886e-16,4.547473508864641e-13,1,1.5,0.0
2.0,0.069,356.4421637328017,788.7507712593257,0.0,4859.174232930872,179.14255028409093,4106.758006402122,True,2.0,2.0,2.0,0.0,0.0,1,2.0,0.0
3.0,0.1035,534.6632455992026,1183.1261568889886,0.0,7288.761349396308,268.7138254261364,4106.758006402122,True,2.999999999999998,3.000000000000001,3.0,6.360377771480977e-16,9.094947017729282e-13,1,3.0,0.0
