model,repeat,fold,split_id,n_train,n_valid,rf_param_hash,R2,RMSE,MSE
B1,8,4,38,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.16835375233677463,647.5880304345318,419370.25716207613
B1,8,5,39,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.13791771706981337,659.360519004787,434756.294022262
B1,9,1,40,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.26138029254036566,2515.887935661697,6329692.104808075
B1,9,2,41,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-4.384109213290485,364.1172954018482,132581.4048107568
B1,9,3,42,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-5.282607236780915,359.7585517158871,129426.21553271264
B1,9,4,43,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.20331450511154125,498.36945713088096,248372.115800929
B1,9,5,44,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.3119003878841116,403.45786921976185,162778.25223535043
B1,10,1,45,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.4692730160812777,357.1265510982002,127539.37349929538
B1,10,2,46,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-3.668836746534584,365.1091296253725,133304.67653579704
B1,10,3,47,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.6477016683696364,280.0954904541282,78453.48377273863
B1,10,4,48,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.2426287016808384,2574.4049039026763,6627560.609238149
B1,10,5,49,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.15713772654004243,642.4066404403504,412686.2916818577
B1,11,1,50,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.09196704956323654,2309.043442259125,5331681.61823987
B1,11,2,51,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.08352410935602006,684.8263087638949,468987.0731751814
B1,11,3,52,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-3.4129353224764385,503.3712808845649,253382.64641936752
B1,11,4,53,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.12342554801650207,444.8015057267735,197848.3794968049
B1,11,5,54,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.14242507943278526,506.0912367552098,256128.3399204178
B1,12,1,55,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.08036342342152869,2302.9773123865198,5303704.501367037
B1,12,2,56,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.01001738536534591,710.7252908486379,505130.4390518809
B1,12,3,57,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.10349750318086426,594.3231464189802,353220.0023693566
B1,12,4,58,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.8617893534883292,289.5846719306067,83859.2822171571
B1,12,5,59,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-9.054212562673,370.3001293767656,137122.18581644935
B1,13,1,60,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.08695079220477131,469.92691957287497,220831.3097392513
B1,13,2,61,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.32406705722267004,381.39847950895756,145464.80017174472
B1,13,3,62,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.2015248175791251,2509.21279116406,6296148.831341333
B1,13,4,63,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.4510206299079393,299.20263798505687,89522.21857721699
B1,13,5,64,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.0970170872552586,671.4371952544038,450827.90717110044
B1,14,1,65,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.021403124340791058,676.9961863214629,458323.83629380487
B1,14,2,66,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-8.906690514001824,321.4431608158966,103325.70563531434
B1,14,3,67,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.1477972448152216,300.153854384963,90092.33630214955
B1,14,4,68,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.11458749055290962,573.1165190304297,328462.5443855569
B1,14,5,69,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.08644019830080385,2436.846595429506,5938221.329656376
