model,feature_class,mean_abs_SHAP,share
B1,Controls,28.426864961818236,0.12022779509070415
B1,Market covariates,100.11184365195615,0.4234102578988765
B1,PMC main effects,107.90299723612488,0.45636194701041927
B2,Controls,19.122123644359288,0.0616360022224531
B2,IV × PMC interactions,173.90698532760894,0.5605513034800678
B2,Market covariates,47.07200211031413,0.15172635009827914
B2,PMC main effects,70.14165215445101,0.22608634419919998
