model,repeat,fold,split_id,n_train,n_valid,rf_param_hash,R2,RMSE,MSE,feature_set
M0,6,3,27,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.12815288986408402,2444.8290200031893,5977188.937049755,IV1;IV2;year_1;Region_1
M0,6,4,28,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.1485068288051172,582.6579539486629,339490.2912996422,IV1;IV2;year_1;Region_1
M0,6,5,29,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.1402410038394568,866.8165360183233,751370.9071148051,IV1;IV2;year_1;Region_1
M0,7,1,30,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.3162937786826756,546.6535769159326,298830.1331549834,IV1;IV2;year_1;Region_1
M0,7,2,31,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.872405731649739,342.7759761402809,117495.3698189224,IV1;IV2;year_1;Region_1
M0,7,3,32,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.10416793837777538,807.0156159208707,651274.2043401422,IV1;IV2;year_1;Region_1
M0,7,4,33,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.07227052890363073,349.3096981325429,122017.26520944823,IV1;IV2;year_1;Region_1
M0,7,5,34,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.07522210726082013,2442.693800465537,5966753.0028327685,IV1;IV2;year_1;Region_1
M0,8,1,35,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.783518945656897,297.10201364680324,88269.60651298525,IV1;IV2;year_1;Region_1
M0,8,2,36,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.08592068662392482,2450.502860585346,6004964.269736963,IV1;IV2;year_1;Region_1
M0,8,3,37,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-8.19558441167846,317.24205535031115,100642.52168288988,IV1;IV2;year_1;Region_1
M0,8,4,38,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.0868645032417128,678.5738347732633,460462.4492388921,IV1;IV2;year_1;Region_1
M0,8,5,39,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.21312957214973483,680.8024408549668,463491.96347408055,IV1;IV2;year_1;Region_1
M0,9,1,40,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.2616698025430306,2516.1766403997563,6331144.885693404,IV1;IV2;year_1;Region_1
M0,9,2,41,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-3.219914706582033,322.3563386534082,103913.6090700308,IV1;IV2;year_1;Region_1
M0,9,3,42,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.4284672594160206,265.76095415101753,70628.88475125923,IV1;IV2;year_1;Region_1
M0,9,4,43,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.3352682625227654,370.41200173397567,137205.0510285708,IV1;IV2;year_1;Region_1
M0,9,5,44,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.4664798833106056,416.72774931619097,173662.0170501381,IV1;IV2;year_1;Region_1
M0,10,1,45,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.7002336779374898,384.1715461731655,147587.77688908065,IV1;IV2;year_1;Region_1
M0,10,2,46,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.1592476002722396,248.2959131576946,61650.86049081342,IV1;IV2;year_1;Region_1
M0,10,3,47,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.2925607744881593,248.0803192415492,61543.84479498897,IV1;IV2;year_1;Region_1
M0,10,4,48,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.25288187333422063,2585.00404328306,6682245.903789768,IV1;IV2;year_1;Region_1
M0,10,5,49,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.0725559551870869,673.869146446266,454099.626532219,IV1;IV2;year_1;Region_1
M0,11,1,50,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.09369810530631595,2310.8729388817956,5340133.739656187,IV1;IV2;year_1;Region_1
