model,repeat,fold,split_id,n_train,n_valid,rf_param_hash,R2,RMSE,MSE
M0_full,8,3,37,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-8.19558441167846,317.24205535031115,100642.52168288988
M0_full,8,4,38,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.0868645032417128,678.5738347732633,460462.4492388921
M0_full,8,5,39,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.21312957214973483,680.8024408549668,463491.96347408055
M0_full,9,1,40,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.2616698025430306,2516.1766403997563,6331144.885693404
M0_full,9,2,41,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-3.219914706582033,322.3563386534082,103913.6090700308
M0_full,9,3,42,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.4284672594160206,265.76095415101753,70628.88475125923
M0_full,9,4,43,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.3352682625227654,370.41200173397567,137205.0510285708
M0_full,9,5,44,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.4664798833106056,416.72774931619097,173662.0170501381
M0_full,10,1,45,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.7002336779374898,384.1715461731655,147587.77688908065
M0_full,10,2,46,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.1592476002722396,248.2959131576946,61650.86049081342
M0_full,10,3,47,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.2925607744881593,248.0803192415492,61543.84479498897
M0_full,10,4,48,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.25288187333422063,2585.00404328306,6682245.903789768
M0_full,10,5,49,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.0725559551870869,673.869146446266,454099.626532219
M0_full,11,1,50,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.09369810530631595,2310.8729388817956,5340133.739656187
M0_full,11,2,51,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.00873556969203304,718.469905105591,516199.004542437
M0_full,11,3,52,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.10305282545734062,251.664992839056,63335.26862068211
M0_full,11,4,53,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.2839987425357803,402.00248417711566,161605.9972845721
M0_full,11,5,54,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.5316385300078288,585.9938991448419,343388.8498349751
M0_full,12,1,55,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.0851855106270536,2308.111137309479,5327377.022172056
M0_full,12,2,56,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.053588804683180724,733.201862595856,537584.9713140326
M0_full,12,3,57,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.003386908259867649,628.7545023693388,395332.2242497148
M0_full,12,4,58,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.701732855406049,329.351219134002,108472.22554505341
M0_full,12,5,59,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-9.420204515340032,376.9796907819406,142113.68726204755
M0_full,13,1,60,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.05154657335815993,504.3098937135339,254328.46889735584
M0_full,13,2,61,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.3136717237686739,379.89833759624173,144322.74690838804
M0_full,13,3,62,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.21947818531557872,2527.889801969895,6390226.850903396
M0_full,13,4,63,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.7203687625558881,211.25277118194884,44627.73333205284
M0_full,13,5,64,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.08734498706029858,675.0235920389865,455656.84980921616
M0_full,14,1,65,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.06332498794374719,705.6954538733742,498006.0736175475
M0_full,14,2,66,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-6.4972585785238355,279.6347481064822,78195.59234857577
M0_full,14,3,67,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.19996241662133096,185.32088742098742,34343.83131450229
M0_full,14,4,68,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.12921746079974517,647.2303768000403,418907.1606527221
M0_full,14,5,69,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.09826292731414998,2450.069698694183,6002841.528459405
M0_full,15,1,70,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.2911539422501339,2498.487907165093,6242441.822250206
M0_full,15,2,71,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.0079801450915418,326.5336553937732,106624.22810481943
M0_full,15,3,72,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.7185018992247034,362.9349813526461,131721.80068944558
M0_full,15,4,73,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.16496196842174493,571.2205853328163,326292.9571079653
M0_full,15,5,74,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.09702198712965271,362.2548632686684,131228.5859618016
M0_full,16,1,75,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.09107270748424656,630.657754601246,397729.2034386854
M0_full,16,2,76,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.09856022416622534,2453.6306814161167,6020303.520786517
M0_full,16,3,77,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.12068932015242817,341.27878257522724,116471.20743602923
M0_full,16,4,78,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.7788383690586331,275.025758973999,75639.1680992242
M0_full,16,5,79,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.01547772384429047,718.9278419478752,516857.2419278291
M0_full,17,1,80,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.2764014891275096,390.7814826852179,152710.16720965726
M0_full,17,2,81,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.10796561775412838,863.0819523206409,744910.4564216089
