variable,Dep_reg,IV1,IV2,PMC_T,PMC_I,PMC_F,PMC_BERT
Dep_reg,1.0,0.3064165214232869,-0.04816536334712696,-0.08954494974935323,-0.12400782299926576,-0.2137471727759619,-0.08809737952291194
IV1,0.3064165214232869,1.0,-0.16892936960500368,-0.14852001411203603,-0.10846092852326047,0.1531898103654234,0.17276044883429634
IV2,-0.04816536334712696,-0.16892936960500368,1.0,-0.2483322001194028,-0.24854158815487318,-0.212337366567103,0.11269811266092859
PMC_T,-0.08954494974935323,-0.14852001411203603,-0.2483322001194028,1.0,0.9137756142457871,0.5533684524098278,0.019488166970776304
PMC_I,-0.12400782299926576,-0.10846092852326047,-0.24854158815487318,0.9137756142457871,1.0,0.5825415489022459,0.08391379107016808
PMC_F,-0.2137471727759619,0.1531898103654234,-0.212337366567103,0.5533684524098278,0.5825415489022459,1.0,0.1432449267306001
PMC_BERT,-0.08809737952291194,0.17276044883429634,0.11269811266092859,0.019488166970776304,0.08391379107016808,0.1432449267306001,1.0
