comparison,median_delta_R2,mean_delta_R2,q025,q975,n_repeats
B1 - B0,0.016970147955916948,0.012351087992235794,0.010806843004977362,0.020220473513868575,20
B2 - B1,-0.007714707331307746,-0.006490655763493847,-0.011372072438047831,-0.0011639385603785524,20
B2 - B0,0.011270315531544117,0.005860432228741946,0.003556433664134273,0.015216027787312347,20
