variable,Dep_reg,IV1,IV2,PMC_T,PMC_I,PMC_F,PMC_BERT
Dep_reg,0.0,0.10469155716865694,0.26540704308227253,0.015296224677716824,0.08301491892101194,0.03197308707296223,0.037659470358996194
IV1,0.10469155716865694,0.0,0.207000546188581,0.09731878078041592,0.05298538084939228,0.11250682404257298,0.02701604601175081
IV2,0.26540704308227253,0.207000546188581,0.0,0.011112667934950887,0.07680681360737007,0.04201894500899392,0.10808078460845812
PMC_T,0.015296224677716824,0.09731878078041592,0.011112667934950887,0.0,0.004819430875122488,0.028401100253808598,0.06924851857786246
PMC_I,0.08301491892101194,0.05298538084939228,0.07680681360737007,0.004819430875122377,0.0,0.059169730013133526,0.06230629796470781
PMC_F,0.0319730870729622,0.11250682404257298,0.04201894500899392,0.028401100253808598,0.059169730013133526,0.0,0.07851803414413787
PMC_BERT,0.03765947035899622,0.02701604601175081,0.10808078460845812,0.06924851857786246,0.06230629796470781,0.07851803414413787,0.0
