model,added_index,n_features,oof_r2_mean,oof_r2_sd_across_folds,paired_delta_r2_median,ci_low,ci_high,share_splits_positive,kendall_tau_vs_M0_ranking,median_rank_displacement,max_rank_displacement,note
M0,none,4,-0.0399336075395781,1.858613391668902,,,,,,0.0,0.0,baseline
M1,PMC_T,5,-0.0399937482533929,1.842424322010444,2.014527411720035e-05,-0.0020744664656777,0.0024601424457484,0.55,0.8463414634146341,2.0,10.0,100 paired splits; M0-only tuning and frozen RF parameters
M2,PMC_I,5,-0.0402123090086744,1.7741757130780722,-0.002063775257945,-0.0029095177378486,0.0034204598422293,0.4,0.8097560975609757,2.0,10.0,100 paired splits; M0-only tuning and frozen RF parameters
M3,PMC_F,5,-0.0278445785004961,1.5752183411448517,0.0137895021002752,0.0089041067104194,0.0181432661393818,0.8,0.621951219512195,4.0,23.0,100 paired splits; M0-only tuning and frozen RF parameters
M4,PMC_BERT,5,-0.0396928176027926,1.4189797870471712,-0.0013298271219108,-0.0028285834054282,0.0035603467909987,0.4,0.7170731707317073,3.0,17.0,100 paired splits; M0-only tuning and frozen RF parameters
